filename	enum	defaultf0floor	defaultf0ceiling	idx	character	case	minTime	maxTime	char_duration	boundary	syl_rhyme	syl_rhyme_minTime	syl_rhyme_maxTime	syl_rhyme_duration	rhyme	rhyme_minTime	rhyme_maxTime	rhyme_duration	f0min	f0max	f0min_time	f0max_time	step1	step2	step3	step4	step5	step6	step7	step8	step9	step10	step11	step12	step13	step14	step15	step16	step17	step18	step19	step20	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20
S2diaA1	0	80.0	370.0	1	小	Name(prefix)	0.3025	0.5025	0.2	0	yaw	0.42844	0.5025	0.07406	yaw	0.43844	0.5025	0.06406	146.481	150.722	0.48229150677753657	0.43844	0.43844	0.44164	0.44485	0.44805	0.45125	0.45445	0.45766	0.46086	0.46406	0.46727	0.47047	0.47367	0.47688	0.48008	0.48328	0.48648	0.48969	0.49289	0.49609	0.4993	151.526	151.074	150.595	150.021	149.447	148.918	148.5	148.082	147.728	147.487	147.245	147.015	146.8	146.586	146.565	146.727	146.889	147.033	147.163	147.294
S2diaA1	1	80.0	370.0	2	英	Name	0.5025	0.59366	0.09116	0	yin	0.5025	0.59366	0.09116	yin	0.5025	0.59366	0.09116	140.716	147.002	0.59366	0.5025	0.5025	0.50706	0.51162	0.51617	0.52073	0.52529	0.52985	0.53441	0.53896	0.54352	0.54808	0.55264	0.5572	0.56175	0.56631	0.57087	0.57543	0.57999	0.58454	0.5891	147.263	147.099	146.964	146.868	146.756	146.611	146.372	145.902	145.445	145.027	144.571	143.938	143.293	142.556	141.853	141.623	141.391	141.062	140.732	140.468
S2diaA1	2	80.0	370.0	0.1	儿	ADD	0.59366	0.68557	0.09191	0	R	0.59366	0.68557	0.09191	R	0.59366	0.68557	0.09191	140.181	144.62	0.595460636741682	0.673944994993657	0.59366	0.59826	0.60285	0.60745	0.61204	0.61664	0.62123	0.62583	0.63042	0.63502	0.63962	0.64421	0.64881	0.6534	0.658	0.66259	0.66719	0.67178	0.67638	0.68097	140.208	140.313	140.459	140.572	140.679	140.79	140.901	141.104	141.334	141.565	141.797	142.181	142.632	143.108	143.597	144.034	144.437	144.612	144.618	144.387
S2diaA1	3	80.0	370.0	3	捏	Verb	0.68557	0.8525	0.16693	0	yE	0.74928	0.8525	0.10322	yE	0.74928	0.8525	0.10322	129.338	143.706	0.7657505037809192	0.8382102871055342	0.74928	0.75444	0.7596	0.76476	0.76992	0.77509	0.78025	0.78541	0.79057	0.79573	0.80089	0.80605	0.81121	0.81637	0.82153	0.82669	0.83186	0.83702	0.84218	0.84734	134.913	134.106	131.192	129.594	130.297	130.915	131.464	131.854	132.186	133.513	134.916	136.159	137.594	139.522	141.072	142.186	142.98	143.601	143.256	142.658
S2diaA1	4	80.0	370.0	4	了	Aspect	0.8525	0.90906	0.05656	0	o	0.88099	0.90906	0.02807	o	0.88099	0.90906	0.02807	143.672	145.51	0.90906	0.88099	0.88099	0.88239	0.8838	0.8852	0.8866	0.88801	0.88941	0.89081	0.89222	0.89362	0.89502	0.89643	0.89783	0.89924	0.90064	0.90204	0.90345	0.90485	0.90625	0.90766	150.622	148.306	145.989	144.451	144.618	144.784	144.95	145.117	145.283	145.45	145.336	145.061	144.786	144.51	144.235	143.96	143.685	142.055	140.361	138.667
S2diaA1	5	80.0	370.0	5	个	Classifier	0.90906	0.99759	0.08853	0	o	0.96745	0.99759	0.03014	o	0.96745	0.99759	0.03014	102.499	104.125	0.99759	0.9691354875283447	0.96745	0.96896	0.97046	0.97197	0.97348	0.97498	0.97649	0.978	0.97951	0.98101	0.98252	0.98403	0.98553	0.98704	0.98855	0.99006	0.99156	0.99307	0.99458	0.99608	104.125	104.125	104.099	104.069	104.039	104.009	103.979	103.95	103.852	103.721	103.589	103.457	103.325	103.194	103.076	102.976	102.876	102.776	102.676	102.577
S2diaA1	6	80.0	370.0	6	狮	Object	0.99759	1.38593	0.38834	0	I	1.23815	1.38593	0.14778	I	1.23815	1.38593	0.14778	92.037	134.5	1.2410104875283448	1.3635196269014904	1.23815	1.24554	1.25293	1.26032	1.26771	1.2751	1.28248	1.28987	1.29726	1.30465	1.31204	1.31943	1.32682	1.33421	1.3416	1.34899	1.35637	1.36376	1.37115	1.37854	92.037	92.202	92.976	94.837	98.237	101.746	105.157	108.493	111.917	116.13	119.267	123.021	127.416	129.599	131.485	132.503	133.359	134.383	133.396	132.224
S2diaA1	7	80.0	370.0	7	子	Object(suffix)	1.38593	1.5469	0.16097	1	I	1.49539	1.5469	0.05151	I	1.49539	1.5469	0.05151	109.115	118.12	1.5469	1.49539	1.49539	1.49797	1.50054	1.50312	1.50569	1.50827	1.51084	1.51342	1.51599	1.51857	1.52114	1.52372	1.5263	1.52887	1.53145	1.53402	1.5366	1.53917	1.54175	1.54432	121.75	120.599	119.448	118.297	116.999	115.675	114.352	113.271	113.12	112.969	112.819	112.525	112.123	111.721	111.318	110.735	110.138	109.541	108.673	107.13
S2diaN1B1	0	60.0	330.0	1	小	Name(prefix)	0.4233	0.6367	0.2134	0	yaw	0.55625	0.6367	0.08045	yaw	0.56625	0.6367	0.07045	154.016	163.96	0.5774498313953352	0.6367	0.56625	0.56977	0.57329	0.57682	0.58034	0.58386	0.58739	0.59091	0.59443	0.59795	0.60147	0.605	0.60852	0.61204	0.61557	0.61909	0.62261	0.62613	0.62966	0.63318	154.607	154.523	154.357	154.19	154.024	154.478	154.963	155.449	155.996	156.634	157.271	157.909	158.588	159.273	159.959	160.739	161.733	162.726	163.72	164.593
S2diaN1B1	1	60.0	330.0	2	银	Name	0.6367	0.80193	0.16523	0	in	0.66831	0.80193	0.13362	in	0.66831	0.80193	0.13362	125.915	165.788	0.80193	0.66831	0.66831	0.67499	0.68167	0.68835	0.69503	0.70171	0.7084	0.71508	0.72176	0.72844	0.73512	0.7418	0.74848	0.75516	0.76184	0.76853	0.77521	0.78189	0.78857	0.79525	165.848	165.815	165.073	160.969	156.872	152.787	149.898	148.579	145.578	141.264	137.593	134.212	132.791	131.803	130.397	128.979	127.69	126.585	126.182	125.722
